X,Y,Distance_from_Origin,Class,Slope,Curvature,Angle_with_X_Axis
-25.272727272727273,-0.675,25.281739829403612,quadratic_graph.png,0.0,0.0,0.0
-25.272727272727273,-0.6625000000000001,25.281409178517976,quadratic_graph.png,inf,0.0,90.0
-25.21212121212121,-1.025,25.232948321880507,quadratic_graph.png,-5.981249999999827,-inf,-80.50855421967054
-25.21212121212121,-0.9500000000000002,25.230013000684174,quadratic_graph.png,inf,inf,90.0
-25.21212121212121,-0.9375,25.22954542326699,quadratic_graph.png,inf,0.0,90.0
-25.21212121212121,-1.0125000000000002,25.232443644337984,quadratic_graph.png,-inf,-inf,-90.0
-25.151515151515152,-0.9500000000000002,25.169450022137877,quadratic_graph.png,1.031250000000031,inf,45.881403996583
-25.151515151515152,-1.0,25.17138681949996,quadratic_graph.png,-inf,-inf,-90.0
-25.151515151515152,-1.0125000000000002,25.171886513864955,quadratic_graph.png,-inf,0.0,-90.0
-25.151515151515152,-0.9375,25.16898131961038,quadratic_graph.png,inf,inf,90.0
-25.09090909090909,-0.5875000000000001,25.09778626210416,quadratic_graph.png,5.774999999999833,-inf,80.17606827658386
-25.09090909090909,-0.6000000000000001,25.098081978674475,quadratic_graph.png,-inf,-inf,-90.0
-25.09090909090909,-0.6625000000000001,25.099653887220526,quadratic_graph.png,-inf,0.0,-90.0
-25.09090909090909,-0.675,25.099986932432145,quadratic_graph.png,-inf,0.0,-90.0
-25.09090909090909,-0.6125,25.098383917261774,quadratic_graph.png,inf,inf,90.0
-25.09090909090909,-0.7125000000000001,25.101023390656096,quadratic_graph.png,-inf,-inf,-90.0
-25.09090909090909,-0.7000000000000002,25.10067168440447,quadratic_graph.png,inf,inf,90.0
-25.09090909090909,-0.5625,25.097213495889626,quadratic_graph.png,inf,0.0,90.0
-25.09090909090909,-1.0125000000000002,25.11132961948181,quadratic_graph.png,-inf,-inf,-90.0
-25.09090909090909,-0.8375000000000001,25.104882498395895,quadratic_graph.png,inf,inf,90.0
-25.09090909090909,-0.8625,25.10572893301974,quadratic_graph.png,-inf,-inf,-90.0
-25.09090909090909,-0.8250000000000002,25.104468606370947,quadratic_graph.png,inf,inf,90.0
-25.09090909090909,-1.0,25.11082872006148,quadratic_graph.png,-inf,-inf,-90.0
-25.09090909090909,-0.875,25.10616147498985,quadratic_graph.png,inf,inf,90.0
-25.09090909090909,-0.7750000000000001,25.102875213972293,quadratic_graph.png,inf,0.0,90.0
-25.09090909090909,-0.7625000000000002,25.102492411277897,quadratic_graph.png,inf,0.0,90.0
-25.03030303030303,-0.6625000000000001,25.03906899305158,quadratic_graph.png,1.6500000000000512,-inf,58.781597235654424
-25.03030303030303,-0.7625000000000002,25.041914384463443,quadratic_graph.png,-inf,-inf,-90.0
-25.03030303030303,-0.5625,25.036622696338203,quadratic_graph.png,inf,inf,90.0
-25.03030303030303,-0.625,25.038104856174662,quadratic_graph.png,-inf,-inf,-90.0
-25.03030303030303,-0.6125,25.037795950099067,quadratic_graph.png,inf,inf,90.0
-25.03030303030303,-0.5750000000000002,25.03690665375412,quadratic_graph.png,inf,0.0,90.0
-25.03030303030303,-0.9875,25.049774969823524,quadratic_graph.png,-inf,-inf,-90.0
-25.03030303030303,-0.8125,25.04348669891629,quadratic_graph.png,inf,inf,90.0
-25.03030303030303,-0.875,25.045592322578383,quadratic_graph.png,-inf,-inf,-90.0
-25.03030303030303,-0.8250000000000002,25.043895359723837,quadratic_graph.png,inf,inf,90.0
-25.03030303030303,-0.9750000000000001,25.049285314930586,quadratic_graph.png,-inf,-inf,-90.0
-24.96969696969697,-0.7625000000000002,24.981336493640487,quadratic_graph.png,3.506249999999899,inf,74.08158586280531
-24.96969696969697,-0.7250000000000001,24.98022001020996,quadratic_graph.png,inf,inf,90.0
-24.96969696969697,-0.7375,24.98058592204142,quadratic_graph.png,-inf,-inf,-90.0
-24.96969696969697,-0.8250000000000002,24.983322272237814,quadratic_graph.png,-inf,0.0,-90.0
-24.96969696969697,-0.6125,24.977208070729084,quadratic_graph.png,inf,inf,90.0
-24.96969696969697,-0.9750000000000001,24.988725292789425,quadratic_graph.png,-inf,-inf,-90.0
-24.96969696969697,-0.9875,24.989216134334708,quadratic_graph.png,-inf,0.0,-90.0
-24.90909090909091,-0.875,24.924454556065122,quadratic_graph.png,1.8562500000000568,inf,61.68774136735245
-24.90909090909091,-0.9500000000000002,24.92720020213573,quadratic_graph.png,-inf,-inf,-90.0
-24.90909090909091,-0.9125000000000001,24.925799208197027,quadratic_graph.png,inf,inf,90.0
-24.90909090909091,-0.8375000000000001,24.92316625485926,quadratic_graph.png,inf,0.0,90.0
-24.90909090909091,-0.6000000000000001,24.916316138573844,quadratic_graph.png,inf,0.0,90.0
-24.90909090909091,-0.75,24.92037940957873,quadratic_graph.png,-inf,-inf,-90.0
-24.90909090909091,-0.625,24.916930688135636,quadratic_graph.png,inf,inf,90.0
-24.90909090909091,-0.5875000000000001,24.916018264709862,quadratic_graph.png,inf,0.0,90.0
-24.90909090909091,-0.6125,24.916620279792273,quadratic_graph.png,-inf,-inf,-90.0
-24.848484848484848,-0.875,24.863885944585995,quadratic_graph.png,-4.331249999999876,inf,-76.99934508190536
-24.848484848484848,-0.5750000000000002,24.855136778247292,quadratic_graph.png,inf,inf,90.0
-24.848484848484848,-0.5875000000000001,24.85542909537836,quadratic_graph.png,-inf,-inf,-90.0
-24.848484848484848,-0.7375,24.859426894346964,quadratic_graph.png,-inf,0.0,-90.0
-24.848484848484848,-0.75,24.859800869383108,quadratic_graph.png,-inf,0.0,-90.0
-24.848484848484848,-0.5625,24.85485074417831,quadratic_graph.png,inf,inf,90.0
-24.848484848484848,-0.6000000000000001,24.85572769534984,quadratic_graph.png,-inf,-inf,-90.0
-24.78787878787879,-0.8875000000000002,24.803761631102876,quadratic_graph.png,-4.743750000000145,inf,-78.09612496862789
-24.78787878787879,-0.5750000000000002,24.79454697715954,quadratic_graph.png,inf,inf,90.0
-24.78787878787879,-0.7250000000000001,24.798478981634563,quadratic_graph.png,-inf,-inf,-90.0
-24.727272727272727,-0.6625000000000001,24.73614607773259,quadratic_graph.png,1.0312499999999707,inf,45.88140399658133
-24.727272727272727,-0.7250000000000001,24.7378988907491,quadratic_graph.png,-inf,-inf,-90.0
-24.727272727272727,-0.7750000000000001,24.73941473699258,quadratic_graph.png,-inf,0.0,-90.0
-24.727272727272727,-0.5750000000000002,24.73395725574308,quadratic_graph.png,inf,inf,90.0
-24.727272727272727,-0.8875000000000002,24.743194474014985,quadratic_graph.png,-inf,-inf,-90.0
-24.727272727272727,-0.625,24.73517013341379,quadratic_graph.png,inf,inf,90.0
-24.727272727272727,-0.5625,24.733669820285982,quadratic_graph.png,inf,0.0,90.0
-24.727272727272727,-0.6125,24.73485744407931,quadratic_graph.png,-inf,-inf,-90.0
-24.727272727272727,-0.7625000000000002,24.73902631024361,quadratic_graph.png,-inf,0.0,-90.0
-24.666666666666668,-0.9750000000000001,24.68592857164673,quadratic_graph.png,-3.5062500000001044,inf,-74.08158586280618
-24.666666666666668,-0.9875,24.686425433716494,quadratic_graph.png,-inf,-inf,-90.0
-24.666666666666668,-0.875,24.682181213264855,quadratic_graph.png,inf,inf,90.0
-24.666666666666668,-0.6625000000000001,24.675561811120826,quadratic_graph.png,inf,0.0,90.0
-24.666666666666668,-0.7750000000000001,24.678838494638367,quadratic_graph.png,-inf,-inf,-90.0
-24.666666666666668,-0.8125,24.68004458453113,quadratic_graph.png,-inf,0.0,-90.0
-24.666666666666668,-0.7000000000000002,24.676597100176604,quadratic_graph.png,inf,inf,90.0
-24.666666666666668,-0.7625000000000002,24.678449114448917,quadratic_graph.png,-inf,-inf,-90.0
-24.666666666666668,-0.675,24.675900580210737,quadratic_graph.png,inf,inf,90.0
-24.666666666666668,-0.7125000000000001,24.676954850516797,quadratic_graph.png,-inf,-inf,-90.0
-24.666666666666668,-0.625,24.67458347053592,quadratic_graph.png,inf,inf,90.0
-24.666666666666668,-0.5750000000000002,24.67336761458485,quadratic_graph.png,inf,0.0,90.0
-24.666666666666668,-0.5875000000000001,24.673662085196117,quadratic_graph.png,-inf,-inf,-90.0
-24.666666666666668,-0.6000000000000001,24.673962884880176,quadratic_graph.png,-inf,0.0,-90.0
-23.93939393939394,2.0875000000000004,24.03023592134483,quadratic_graph.png,3.695312500000004,inf,74.85768830611983
-23.93939393939394,1.9875,24.02175552359759,quadratic_graph.png,-inf,-inf,-90.0
-23.93939393939394,2.1,24.031325019346966,quadratic_graph.png,inf,inf,90.0
-23.81818181818182,1.9875,23.90096109728575,quadratic_graph.png,-0.9281250000000012,-inf,-42.865165255798715
-23.81818181818182,2.0875000000000004,23.909484339357196,quadratic_graph.png,inf,inf,90.0
-23.757575757575758,2.0250000000000004,23.843720994780814,quadratic_graph.png,-1.0312499999999707,-inf,-45.88140399658133
